"~id","~labels","dateCreation","extension","expired","isProtected","dateExpiration","dateModification","nbDaysBeforeExpires","id","status"
"1038","Site","2020-11-20","nc","False","False","2022-11-20","2022-09-30",38,"cabinet-kine-boulouparis","green"
"1039","Site","2014-03-10","nc","False","False","2024-03-10","2022-03-07",514,"cabinet-pneumologie-sommeil","green"
"1040","Site","2019-03-18","nc","False","False","2024-03-18","2019-04-08",522,"cabinetdentairedrdenisleroux","green"
"1041","Site","2021-07-27","nc","False","False","2023-07-27","2021-07-27",287,"cabinetdescroix","green"
"1042","Site","2007-05-03","nc","False","False","2024-05-03","2022-03-18",568,"cabinetlacroix","green"
"1043","Site","2017-05-10","nc","False","False","2027-05-10","2022-08-25",1670,"cabinetlangeron","green"
"1044","Site","2020-07-01","nc","False","False","2025-07-01","2020-07-01",992,"cablelec","green"
"1045","Site","2007-08-28","nc","False","False","2027-08-28","2022-08-12",1780,"cablery","green"
"1046","Site","2017-05-17","nc","False","False","2027-05-17","2022-04-25",1677,"cabletelecom","green"
"1047","Site","2009-02-18","nc","False","False","2023-02-18","2018-01-09",128,"cactus","green"
"1048","Site","2016-03-21","nc","False","False","2026-03-21","2021-02-09",1255,"cadeau","green"
"1049","Site","2015-12-02","nc","False","False","2023-12-04","2019-11-08",417,"cadeaucaledo","green"
"1050","Site","2016-03-21","nc","False","False","2026-03-21","2021-02-09",1255,"cadeaux","green"
"1051","Site","2022-07-25","nc","False","False","2027-07-25","2022-07-25",1746,"cado","green"
"1052","Site","1998-10-28","nc","False","False","2027-10-28","2022-09-21",1841,"cafat","green"
"1053","Site","2004-11-04","nc","False","False","2027-11-04","2022-10-04",1848,"cafe-melanesien","green"
"1054","Site","2014-11-12","nc","False","False","2024-11-12","2019-11-08",761,"cafe","green"
"1055","Site","2017-11-06","nc","False","False","2022-11-17","2022-09-27",35,"cafestore","green"
"1056","Site","2006-07-20","nc","False","False","2026-07-20","2021-05-31",1376,"caff","green"
"1057","Site","2019-04-19","nc","False","False","2026-04-19","2021-04-16",1284,"cafia","green"
"1058","Site","2021-04-21","nc","False","False","2023-04-21","2021-05-19",190,"cagnotte","green"
"1059","Site","2007-07-04","nc","False","False","2024-07-04","2019-06-26",630,"cagou","green"
"1060","Site","2009-08-13","nc","False","False","2024-08-13","2022-08-10",670,"cagoubackup","green"
"1061","Site","2022-05-17","nc","False","False","2027-05-17","2022-05-17",1677,"cagoucoin","green"
"1062","Site","2020-03-25","nc","False","False","2025-03-25","2020-03-25",894,"cagoudrive","green"
"1063","Site","2020-11-23","nc","False","False","2022-11-23","2022-10-03",41,"cagouexpress","green"
"1064","Site","2021-04-06","nc","False","False","2023-04-06","2021-04-06",175,"cagoujob","green"
"1065","Site","2012-04-25","nc","False","False","2024-04-25","2022-03-05",560,"cagouphila","green"
"1066","Site","2019-06-21","nc","False","False","2024-06-21","2019-06-21",617,"caillebotis","green"
"1067","Site","2009-09-29","nc","False","False","2023-09-29","2021-09-30",351,"cairn-origin","green"
"1068","Site","2016-10-10","nc","False","False","2026-10-10","2021-08-24",1458,"cakefactory","green"
"1069","Site","2012-05-30","nc","False","False","2025-05-30","2022-04-09",960,"cal-ing","green"
"1070","Site","2004-05-05","nc","False","False","2024-05-05","2022-03-15",570,"calbat","green"
"1071","Site","2019-11-07","nc","False","False","2024-11-07","2019-11-07",756,"calbatimmo","green"
"1072","Site","2011-09-08","nc","False","False","2024-09-08","2019-07-19",696,"caleco-environnement","green"
"1073","Site","2016-09-07","nc","False","False","2026-09-07","2016-11-09",1425,"caleco","green"
"1074","Site","2005-09-06","nc","False","False","2027-09-06","2022-07-18",1789,"caledobio","green"
"1075","Site","2020-08-20","nc","False","False","2025-08-20","2020-08-20",1042,"caledoclean","green"
"1076","Site","2022-03-23","nc","False","False","2024-03-20","2022-03-23",524,"caledoespacevert","green"
"1077","Site","2018-03-05","nc","False","False","2024-03-05","2022-01-17",509,"caledogreen","green"
"1078","Site","2022-08-29","nc","False","False","2027-09-19","2022-08-30",1802,"caledogtour","green"
"1079","Site","2019-04-10","nc","False","False","2024-04-10","2019-04-10",545,"caledolivres","green"
"1080","Site","2017-09-07","nc","False","False","2024-09-07","2019-08-21",695,"caledonia-offroad-latitude","green"
"1081","Site","2016-12-01","nc","False","False","2026-12-01","2021-10-26",1510,"caledonia","green"
"1082","Site","2016-08-25","nc","False","False","2026-08-25","2021-08-16",1412,"caledoniabirds","green"
"1083","Site","2020-04-30","nc","False","False","2024-04-30","2022-03-10",565,"caledonian-motors","green"
"1084","Site","2021-09-20","nc","False","False","2026-09-20","2021-09-20",1438,"caledonianbox","green"
"1085","Site","2017-08-22","nc","False","False","2024-08-22","2019-07-23",679,"caledonianfit","green"
"1086","Site","2020-06-26","nc","False","False","2024-06-26","2022-05-18",622,"caledonianmotors","green"
"1087","Site","2020-12-22","nc","False","False","2022-12-22","2020-12-22",70,"caledoniantacticalshooters","green"
